,Symbol,Name
425,GLOBALVECT,Global_Vectra_Helicorp_Limited
426,GLOBUSSPR,Globus_Spirits_Limited
427,GLODYNE,Glodyne_Technoserve_Limited
428,GLORY,Glory_Polyfilms_Limited
429,GMBREW,GM_Breweries_Limited
430,GMDCLTD,Gujarat_Mineral_Development_Corporation_Limited
431,GMRINFRA,GMR_Infrastructure_Limited
432,GNFC,Gujarat_Narmada_Valley_Fertilizer_Company_Limited
433,GOACARBON,Goa_Carbon_Limited
434,GODFRYPHLP,Godfrey_Phillips_India_Limited
435,GODREJCP,Godrej_Consumer_Products_Limited
436,GODREJIND,Godrej_Industries_Limited
437,GODREJPROP,Godrej_Properties_Limited
438,GOENKA,Goenka_Diamond_and_Jewels_Limited
439,GOKEX,Gokaldas_Exports_Limited
440,GOKUL,Gokul_Refoils_and_Solvent_Limited
441,GOLDENTOBC,Golden_Tobacco_Limited
442,GOLDIAM,Goldiam_International_Limited
443,GOLDINFRA,Goldstone_Infratech_Limited
444,GOLDTECH,Goldstone_Technologies_Limited
445,GPIL,Godawari_Power_And_Ispat_limited
446,GPPL,Gujarat_Pipavav_Port_Limited
447,GRABALALK,Grabal_Alok_Impex_Limited
448,GRANULES,Granules_India_Limited
449,GRAPHITE,Graphite_India_Limited
450,GRASIM,Grasim_Industries_Limited
451,GREAVESCOT,Greaves_Cotton_Limited
452,GREENPLY,Greenply_Industries_Limited
453,GREENPOWER,Orient_Green_Power_Company_Limited
454,GRINDWELL,Grindwell_Norton_Limited
455,GRUH,Gruh_Finance_Limited
456,GSFC,Gujarat_State_Fertilizers_&_Chemicals_Limited
457,GSKCONS,GlaxoSmithKline_Consumer_Healthcare_Limited
458,GSLNOVA,GSL_Nova_Petrochemicals_Limited
459,GSPL,Gujarat_State_Petronet_Limited
460,GSSAMERICA,GSS_America_Infotech_Limited
461,GTL,GTL_Limited
462,GTLINFRA,GTL_Infrastructure_Limited
463,GTNIND,GTN_Industries_Limited
464,GTOFFSHORE,Great_Offshore_Limited
465,GUFICBIO,Gufic_Biosciences_Limited
466,GUJALKALI,Gujarat_Alkalies_and_Chemicals_Limited
467,GUJAPOLLO,Gujarat_Apollo_Industries_Limited
468,GUJFLUORO,Gujarat_Fluorochemicals_Limited
469,GUJNRECOKE,Gujarat_NRE_Coke_Limited
470,GUJRATGAS,Gujarat_Gas_Company_Limited
471,GUJSIDHCEM,Gujarat_Sidhee_Cements_Limited
472,GUJSTATFIN,Gujarat_State_Financial_Corporation
473,GULFOILCOR,Gulf_Oil_Corporation_Limited
474,GVKPIL,GVK_Power_&_Infrastructure_Limited
475,HALONIX,Halonix_Limited
476,HANUNG,Hanung_Toys_and_Textiles_Limited
477,HARITASEAT,Harita_Seating_Systems_Limited
478,HARRMALAYA,Harrisons_Malayalam_Limited
479,HATHWAY,Hathway_Cable_&_Datacom_Limited
480,HAVELLS,Havells_India_Limited
481,HBLPOWER,HBL_Power_Systems_Limited
482,HBSTOCK,HB_Stockholdings_Limited
483,HCC,Hindustan_Construction_Company_Limited
484,HCIL,Himadri_Chemicals_and_Industries_Limited
485,HCL-INSYS,HCL_Infosystems_Limited
486,HCLTECH,HCL_Technologies_Limited
487,HDFC,Housing_Development_Finance_Corporation_Limited
488,HDFCBANK,HDFC_Bank_Limited
489,HDIL,Housing_Development_and_Infrastructure_Limited
490,HEG,HEG_Limited
491,HEIDELBERG,HeidelbergCement_India_Limited
492,HELIOSMATH,Helios_And_Matheson_Information_Technology_Limited
493,HERCULES,Hercules_Hoists_Limited
494,HERITGFOOD,Heritage_Foods_(India)_Limited
495,HEROHONDA,Hero_Honda_Motors_Limited
496,HEXAWARE,Hexaware_Technologies_Limited
497,HFCL,Himachal_Futuristic_Communications_Limited
498,HGSL,Hinduja_Global_Solutions_Limited
499,HIKAL,Hikal_Limited
500,HILTON,Hilton_Metal_Forging_Limited
501,HIMATSEIDE,Himatsingka_Seide_Limited
502,HINDALCO,Hindalco_Industries_Limited
503,HINDCOMPOS,Hindustan_Composites_Limited
504,HINDCOPPER,Hindustan_Copper_Limited
505,HINDDORROL,Hindustan_Dorr-Oliver_Limited
506,HINDMOTORS,Hindustan_Motors_Limited
507,HINDNATGLS,Hindusthan_National_Glass_&_Industries_Limited
508,HINDOILEXP,Hindustan_Oil_Exploration_Company_Limited
509,HINDPETRO,Hindustan_Petroleum_Corporation_Limited
510,HINDSYNTEX,Hind_Syntex_Limited
511,HINDUJAFO,Hinduja_Foundries_Limited
512,HINDUJAVEN,Hinduja_Ventures_Limited
513,HINDUNILVR,Hindustan_Unilever_Limited
514,HINDZINC,Hindustan_Zinc_Limited
515,HIRECT,Hind_Rectifiers_Limited
516,HITACHIHOM,Hitachi_Home_and_Life_Solutions_(India)_Limited
517,HITECHGEAR,Hi-Tech_Gears_Limited
518,HITECHPLAS,Hitech_Plast_Limited
519,HMT,HMT_Limited
520,HMVL,Hindustan_Media_Ventures_Limited
521,HOCL,Hindustan_Organic_Chemicals_Limited
522,HONAUT,Honeywell_Automation_India_Limited
523,HONDAPOWER,Honda_Siel_Power_Products_Limited
524,HOPFL,House_of_Pearl_Fashions_Limited
525,HORIZONINF,Horizon_Infrastructure_Limited
526,HOTELEELA,Hotel_Leela_Venture_Limited
527,HOTELRUGBY,Hotel_Rugby_Limited
528,HOVS,HOV_Services_Limited
529,HSIL,HSIL_Limited
530,HTMEDIA,HT_Media_Limited
531,HYDRBADIND,Hyderabad_Industries_Limited
532,IBN18,ibn18_Broadcast_Limited
